#multi:
;A;;T;;E;;M;;C;;5Mt;;
t;x;y;x;y;x;y;x;y;x;y;x;y;
0,584;0,628;1,996;0,601;1,215;0,533;0,613;9,190E-2;0,341;5,744E-2;0,386;6,386E-2;0,167
0,600;0,624;1,999;0,600;1,219;0,566;0,614;0,122;0,353;9,570E-2;0,401;9,928E-2;0,180
0,617;0,620;2,005;0,600;1,225;0,601;0,617;0,159;0,359;0,122;0,393;0,141;0,185
0,634;0,616;2,010;0,598;1,232;0,636;0,624;0,196;0,359;0,154;0,397;0,192;0,186
0,650;0,613;2,014;0,595;1,239;0,670;0,632;0,238;0,350;0,196;0,383;0,252;0,180
0,667;0,609;2,018;0,593;1,246;0,701;0,642;0,283;0,336;0,234;0,362;0,314;0,171
0,684;0,605;2,021;0,591;1,251;0,729;0,653;0,333;0,318;0,270;0,333;0,382;0,160
0,700;0,601;2,023;0,590;1,257;0,755;0,663;0,387;0,297;0,335;0,304;0,450;0,148
0,717;0,597;2,024;0,589;1,262;0,777;0,674;0,444;0,274;0,385;0,277;0,524;0,134
0,734;0,593;2,023;0,590;1,265;0,797;0,684;0,503;0,249;0,439;0,250;0,598;0,120
0,750;0,590;2,021;0,592;1,266;0,813;0,691;0,566;0,223;0,509;0,204;0,672;0,107
0,767;0,588;2,018;0,594;1,267;0,827;0,696;0,633;0,198;0,571;0,170;0,754;9,820E-2
0,784;0,585;2,014;0,595;1,266;0,837;0,699;0,701;0,176;0,654;0,143;0,834;9,398E-2
0,800;0,583;2,009;0,599;1,263;0,846;0,698;0,772;0,159;0,730;0,112;0,914;9,484E-2
0,817;0,582;2,003;0,601;1,257;0,851;0,695;0,841;0,146;0,811;9,875E-2;0,992;0,103
0,834;0,580;1,995;0,604;1,250;0,854;0,689;0,909;0,142;0,878;8,432E-2;1,067;0,118
0,850;0,578;1,987;0,609;1,241;0,857;0,681;0,969;0,144;0,933;7,588E-2;1,128;0,137
0,867;0,575;1,980;0,615;1,232;0,860;0,674;1,018;0,150;0,991;8,217E-2;1,180;0,156
0,884;0,573;1,973;0,621;1,223;0,863;0,668;1,052;0,155;1,045;8,090E-2;1,214;0,170
0,900;0,570;1,966;0,626;1,216;0,867;0,665;1,072;0,157;1,059;8,965E-2;1,231;0,174
0,917;0,568;1,960;0,631;1,212;0,872;0,662;1,074;0,152;1,059;8,965E-2;1,232;0,167
0,934;0,567;1,954;0,637;1,210;0,877;0,660;1,062;0,143;1,031;7,574E-2;1,220;0,151
0,950;0,568;1,951;0,644;1,209;0,884;0,657;1,041;0,131;1,011;6,621E-2;1,197;0,131
0,967;0,571;1,950;0,654;1,208;0,888;0,653;1,016;0,125;0,974;6,586E-2;1,177;0,113
0,984;0,573;1,949;0,663;1,211;0,890;0,653;1,002;0,126;0,945;6,630E-2;1,155;0,100
1,000;0,577;1,952;0,670;1,222;0,893;0,662;0,968;0,125;0,916;7,391E-2;1,122;8,751E-2
1,017;0,580;1,959;0,673;1,237;0,895;0,667;0,936;0,125;0,876;7,317E-2;1,087;7,572E-2
1,034;0,583;1,966;0,676;1,247;0,889;0,667;0,904;0,122;0,831;7,920E-2;1,053;6,406E-2
1,050;0,586;1,973;0,677;1,254;0,876;0,665;0,869;0,120;0,803;7,605E-2;1,018;5,985E-2
1,067;0,589;1,979;0,677;1,257;0,857;0,661;0,833;0,120;0,766;8,288E-2;0,981;5,871E-2
1,084;0,592;1,986;0,675;1,260;0,836;0,660;0,797;0,121;0,726;7,855E-2;0,945;5,862E-2
1,100;0,597;1,992;0,674;1,265;0,815;0,659;0,763;0,122;0,686;7,780E-2;0,908;5,854E-2
1,117;0,602;2,000;0,673;1,270;0,792;0,657;0,727;0,123;0,672;7,982E-2;0,872;6,003E-2
1,134;0,606;2,007;0,671;1,273;0,767;0,655;0,691;0,124;0,627;9,302E-2;0,836;5,957E-2
1,150;0,609;2,013;0,669;1,273;0,741;0,655;0,656;0,125;0,588;8,152E-2;0,797;5,954E-2
1,167;0,614;2,017;0,664;1,273;0,715;0,654;0,621;0,125;0,545;8,039E-2;0,762;6,029E-2
1,184;0,616;2,021;0,660;1,272;0,688;0,653;0,586;0,128;0,515;8,800E-2;0,587;0,129
1,200;0,618;2,024;0,654;1,271;0,662;0,652;0,548;0,130;0,489;9,241E-2;0,689;6,054E-2
1,217;0,620;2,025;0,647;1,268;0,635;0,653;0,513;0,133;0,448;9,884E-2;0,653;6,140E-2
1,234;0,620;2,025;0,640;1,266;0,609;0,652;0,478;0,136;0,419;0,103;0,616;6,163E-2
